Geracao;FitnessMelhor;FitnessMedia;DistanciaMelhor;Venceu
1;927.00;701.42;722;False
2;930.00;873.95;722;False
3;1101.00;821.30;898;False
4;1185.00;850.88;1005;False
5;1187.00;871.27;1007;False
6;1187.00;903.93;1007;False
7;1187.00;923.47;1007;False
8;1187.00;817.25;1007;False
9;1187.00;913.38;1007;False
10;1187.00;887.45;1007;False
11;1187.00;893.70;1007;False
12;1187.00;939.42;1007;False
13;1187.00;854.45;1007;False
14;1187.00;882.20;1007;False
15;1187.00;919.23;1007;False
16;1187.00;902.53;1007;False
17;1187.00;903.03;1007;False
18;1187.00;922.93;1007;False
19;1187.00;897.32;1007;False
20;1187.00;882.52;1007;False
21;1187.00;920.95;1007;False
22;1187.00;916.30;1007;False
23;1187.00;879.15;1007;False
24;1187.00;929.67;1007;False
25;1187.00;894.93;1007;False
26;1187.00;864.43;1007;False
27;1187.00;917.35;1007;False
28;1187.00;922.25;1007;False
29;1187.00;850.10;1007;False
30;1187.00;933.10;1007;False
31;1187.00;897.55;1007;False
32;1187.00;899.63;1007;False
33;1187.00;893.97;1007;False
34;1187.00;963.50;1007;False
35;1187.00;946.20;1007;False
36;1187.00;900.82;1007;False
37;1258.00;905.23;1073;False
38;1259.00;914.10;1074;False
39;1259.00;948.88;1074;False
40;1259.00;895.10;1074;False
41;1259.00;900.27;1074;False
42;1259.00;964.48;1074;False
43;1259.00;1000.50;1074;False
44;1259.00;919.42;1074;False
45;1259.00;929.42;1074;False
46;1259.00;973.18;1074;False
47;1259.00;939.07;1074;False
48;1259.00;954.93;1074;False
49;1259.00;1003.55;1074;False
50;1259.00;960.93;1074;False
51;1259.00;971.38;1074;False
52;1259.00;899.18;1074;False
53;1259.00;965.73;1074;False
54;1259.00;895.07;1074;False
55;1259.00;992.58;1074;False
56;1259.00;933.40;1074;False
57;1259.00;949.08;1074;False
58;1259.00;918.42;1074;False
59;1259.00;979.90;1074;False
60;1259.00;938.62;1074;False
61;1259.00;929.47;1074;False
62;1259.00;965.98;1074;False
63;1259.00;957.50;1074;False
64;1259.00;905.75;1074;False
